"ASSET TYPE","ASSET CODE","ENERGY TYPE",YEAR,month,consumption,cost,co2
Store,4572,ELECTRICITY,2025,1,90,54.21,19.60029
Store,4572,ELECTRICITY,2025,2,146,0,31.796026
Store,4572,ELECTRICITY,2025,3,76,0,16.551356
Store,4572,ELECTRICITY,2025,4,117,0,25.480377
Store,4572,ELECTRICITY,2024,1,96,39.86,24.332256
Store,4572,ELECTRICITY,2024,2,87,34.96,22.051107
Store,4572,ELECTRICITY,2024,3,38,23.12,9.631518
Store,4572,ELECTRICITY,2024,4,62,28.36,15.714582
Store,4572,ELECTRICITY,2024,5,61,28.94,15.461121
Store,4572,ELECTRICITY,2024,6,82,34.73,20.783801999999998
Store,4572,ELECTRICITY,2024,7,61,28.96,15.461121
Store,4572,ELECTRICITY,2024,8,70,31.83,17.742269999999998
Store,4572,ELECTRICITY,2024,9,61,28.67,15.461121
Store,4572,ELECTRICITY,2024,10,83,51.79,21.037263
Store,4572,ELECTRICITY,2024,11,83,0,21.037263
Store,4572,ELECTRICITY,2024,12,80,50.63,20.27688
Store,4572,ELECTRICITY,2023,1,95,0,26.822869999999998
Store,4572,ELECTRICITY,2023,2,306,0,86.397876
Store,4572,ELECTRICITY,2023,3,101,4.83,28.516945999999997
Store,4572,ELECTRICITY,2023,4,88,2.641935,24.846448
Store,4572,ELECTRICITY,2023,5,88,4.465937,24.846448
Store,4572,ELECTRICITY,2023,6,-17,-40.83871,-4.799882
Store,4572,ELECTRICITY,2023,7,79,-4.175312,22.305334
Store,4572,ELECTRICITY,2023,8,43,-18.5225,12.140877999999999
Store,4572,ELECTRICITY,2023,9,83,-2.82,23.434718
Store,4572,ELECTRICITY,2023,10,92,50.936875,25.975831999999997
Store,4572,ELECTRICITY,2023,11,106,0,29.928676
Store,4572,ELECTRICITY,2023,12,-10,0,-2.82346
Store,4572,ELECTRICITY,2022,1,116,47.53,34.129056
Store,4572,ELECTRICITY,2022,2,104,44.42,30.598463999999996
Store,4572,ELECTRICITY,2022,3,114,47.67,33.540623999999994
Store,4572,ELECTRICITY,2022,4,36,31.24,10.591776
Store,4572,ELECTRICITY,2022,5,89,41.17,26.185223999999998
Store,4572,ELECTRICITY,2022,6,83,39.86,24.419928
Store,4572,ELECTRICITY,2022,7,82,69.71,24.125711999999996
Store,4572,ELECTRICITY,2022,8,62.86,25.19,20.59
Store,4572,ELECTRICITY,2022,9,80,4.296,23.53728
Store,4572,ELECTRICITY,2022,10,65,34.84,19.12404
Store,4572,ELECTRICITY,2022,11,94,44.98,27.656304
Store,4572,ELECTRICITY,2022,12,92,56.64,27.067872
Store,4572,ELECTRICITY,2021,1,142,62.39,42.97133
Store,4572,ELECTRICITY,2021,2,132,59.43,39.94518
Store,4572,ELECTRICITY,2021,3,141,62.77,42.668715000000006
Store,4572,ELECTRICITY,2021,4,44,43.8,13.31506
Store,4572,ELECTRICITY,2021,5,105,56.09,31.774575000000002
Store,4572,ELECTRICITY,2021,6,67,48.17,20.275205000000003
Store,4572,ELECTRICITY,2021,7,96,54.08,29.05104
Store,4572,ELECTRICITY,2021,8,95,53.82,28.748425
Store,4572,ELECTRICITY,2021,9,102,54.49,30.866730000000004
Store,4572,ELECTRICITY,2021,10,83,41.89,25.117045
Store,4572,ELECTRICITY,2021,11,119,47.93,36.011185000000005
Store,4572,ELECTRICITY,2021,12,92,43.18,27.840580000000003
Store,4572,ELECTRICITY,2020,1,267,69.59,78.531108
Store,4572,ELECTRICITY,2020,2,-4,20.8,-1.176496
Store,4572,ELECTRICITY,2020,3,214,60.77,62.942536
Store,4572,ELECTRICITY,2020,4,192,55.86,56.471807999999996
Store,4572,ELECTRICITY,2020,5,178,54.6,52.354072
Store,4572,ELECTRICITY,2020,6,-168,-7.7,-49.412832
Store,4572,ELECTRICITY,2020,7,147,49.2,43.236228
Store,4572,ELECTRICITY,2020,8,147,49.1,43.236228
Store,4572,ELECTRICITY,2020,9,159,50.5,46.765716
Store,4572,ELECTRICITY,2020,10,-16,33.53,-4.705984
Store,4572,ELECTRICITY,2020,11,150,64.18,44.1186
Store,4572,ELECTRICITY,2020,12,68,48.71,20.000432
Store,4572,ELECTRICITY,2019,1,301,222.013413,99.99
Store,4572,ELECTRICITY,2019,2,228,148.569804,75.74
Store,4572,ELECTRICITY,2019,3,188,109.681365,62.45
Store,4572,ELECTRICITY,2019,4,172,90.92348,57.14
Store,4572,ELECTRICITY,2019,5,169,100.359856,56.14
Store,4572,ELECTRICITY,2019,6,183,47.24506,60.79
Store,4572,ELECTRICITY,2019,7,235,3.4375,78.07
Store,4572,ELECTRICITY,2019,8,110,38.57,36.508120000000005
Store,4572,ELECTRICITY,2019,9,201,57.67,66.71029200000001
Store,4572,ELECTRICITY,2019,10,265,73.03,87.95138
Store,4572,ELECTRICITY,2019,11,243,65.97,80.64975600000001
Store,4572,ELECTRICITY,2019,12,241,65.06,79.985972
Store,4572,ELECTRICITY,2018,1,197,55.997974,74.33
Store,4572,ELECTRICITY,2018,2,267,142.148703,100.74
Store,4572,ELECTRICITY,2018,3,341,205.245498,128.65
Store,4572,ELECTRICITY,2018,4,301,221.619879,113.56
Store,4572,ELECTRICITY,2018,5,310,177.573883,116.96
Store,4572,ELECTRICITY,2018,6,145,164.708708,54.71
Store,4572,ELECTRICITY,2018,7,29,0,10.94
Store,4572,ELECTRICITY,2018,8,148,9.436377,55.84
Store,4572,ELECTRICITY,2018,9,199,47.497769,75.08
Store,4572,ELECTRICITY,2018,10,223,210.828065,84.13
Store,4572,ELECTRICITY,2018,11,241,65.428607,90.93
Store,4572,ELECTRICITY,2018,12,254,209.392219,95.83
Store,4572,ELECTRICITY,2017,1,254.15,63.192955,111.73
Store,4572,ELECTRICITY,2017,2,232.93,63.192955,102.41
