Date,ActivityType,DurationMinutes,Calories,Steps
10/1/2025,Running,53,520,9226
10/2/2025,Walking,50,302,10265
10/3/2025,Gym Workout,55,602,6444
10/4/2025,Yoga,53,280,2185
10/5/2025,Gym Workout,68,635,5433
10/6/2025,Gym Workout,65,560,7555
10/7/2025,Yoga,73,238,974
10/8/2025,Yoga,71,337,1475
10/9/2025,Gym Workout,88,454,4267
10/10/2025,Yoga,32,200,1146
10/11/2025,Gym Workout,83,417,5435
10/12/2025,Daily Activity,133,541,13513
10/13/2025,Gym Workout,64,491,4478
10/14/2025,Yoga,37,324,534
10/15/2025,Daily Activity,155,349,9943
10/16/2025,Walking,35,253,9225
10/17/2025,Yoga,58,340,2949
10/18/2025,Walking,63,389,4995
10/19/2025,Yoga,44,349,1775
10/20/2025,Gym Workout,84,612,3337
10/21/2025,Yoga,53,303,2764
10/22/2025,Running,53,264,7884
10/23/2025,Gym Workout,51,408,5027
10/24/2025,Running,35,330,4391
10/25/2025,Walking,62,322,9892
10/26/2025,Daily Activity,160,327,12278
10/27/2025,Cycling,41,411,4104
10/28/2025,Gym Workout,67,461,3804
10/29/2025,Walking,69,234,9056
10/30/2025,Running,38,380,7840
10/31/2025,Walking,84,341,4870
11/1/2025,Gym Workout,59,414,4484
11/2/2025,Gym Workout,76,630,3563
11/3/2025,Yoga,33,300,2778
11/4/2025,Running,53,285,9279
11/5/2025,Yoga,51,177,2097
11/6/2025,Yoga,35,177,1551
11/7/2025,Gym Workout,64,429,4981
11/8/2025,Yoga,57,339,1908
11/9/2025,Gym Workout,57,632,4282
11/10/2025,Gym Workout,52,554,7744
11/11/2025,Yoga,62,200,1757
11/12/2025,Running,39,564,7445
11/13/2025,Gym Workout,68,632,6763
11/14/2025,Running,36,544,7457
11/15/2025,Walking,66,312,6999
11/16/2025,Gym Workout,46,529,3854
11/17/2025,Running,57,375,9249
11/18/2025,Yoga,55,309,2233
11/19/2025,Gym Workout,48,582,3202
11/20/2025,Running,41,504,8389
11/21/2025,Running,58,447,5930
11/22/2025,Cycling,45,346,4272
11/23/2025,Running,30,598,5794
11/24/2025,Yoga,65,296,1869
11/25/2025,Yoga,48,297,2234
11/26/2025,Gym Workout,77,567,5385
11/27/2025,Cycling,40,469,3520
11/28/2025,Gym Workout,75,621,6369
11/29/2025,Running,40,595,4623
11/30/2025,Yoga,31,278,1827
12/1/2025,Daily Activity,188,336,13158
12/2/2025,Running,59,396,6255
12/3/2025,Cycling,53,303,4191
12/4/2025,Cycling,40,362,2443
12/5/2025,Cycling,49,476,4183
