Date,ActivityType,DurationMinutes,Calories,Steps
9/15/2025,Gym Workout,277,1747,11663
9/16/2025,Gym Workout,104,1382,12969
9/16/2025,Daily Activity,199,1151,10967
9/16/2025,Yoga,199,752,3724
9/17/2025,Running,322,2489,17266
9/17/2025,Gym Workout,188,2218,12365
9/18/2025,Running,403,1813,12212
9/18/2025,Running,324,2462,14406
9/18/2025,Yoga,155,1196,2641
9/18/2025,Cycling,267,2062,13691
9/18/2025,Cycling,289,2467,14132
9/19/2025,Yoga,81,993,5691
9/20/2025,Yoga,192,1168,7575
9/20/2025,Gym Workout,222,2135,4045
9/21/2025,Yoga,254,872,9503
9/21/2025,Daily Activity,243,1600,12408
9/22/2025,Cycling,294,2209,11960
9/22/2025,Gym Workout,214,1039,5693
9/22/2025,Cycling,223,1689,9513
9/23/2025,Yoga,111,1070,0
9/23/2025,Walking,259,1433,9211
9/24/2025,Walking,161,1301,6288
9/24/2025,Gym Workout,249,2170,16203
9/24/2025,Gym Workout,188,2107,6449
9/24/2025,Walking,232,1678,8012
9/25/2025,Yoga,81,1212,8324
9/26/2025,Gym Workout,276,1509,8858
9/27/2025,Running,287,2204,15073
9/27/2025,Running,272,1750,14301
9/28/2025,Yoga,155,1260,3180
9/28/2025,Walking,259,1736,7074
9/28/2025,Yoga,113,861,9234
9/28/2025,Yoga,78,1199,2801
9/29/2025,Gym Workout,136,1523,5715
9/29/2025,Yoga,146,1121,1765
9/30/2025,Daily Activity,210,1604,8040
9/30/2025,Gym Workout,288,1782,12533
9/30/2025,Gym Workout,325,1626,11599
10/1/2025,Walking,259,1412,8500
10/2/2025,Gym Workout,242,1456,8891
10/3/2025,Daily Activity,319,1051,17040
10/4/2025,Yoga,193,1624,14242
10/5/2025,Cycling,370,2208,5497
10/6/2025,Daily Activity,180,1617,4395
10/7/2025,Gym Workout,137,1713,16410
10/8/2025,Daily Activity,158,1428,13023
10/9/2025,Walking,165,1663,0
10/10/2025,Running,423,2207,14698
10/10/2025,Running,270,1874,14803
10/11/2025,Gym Workout,330,1771,12486
10/11/2025,Walking,127,1581,9978
10/12/2025,Walking,324,1710,8757
10/13/2025,Daily Activity,115,1911,7340
10/13/2025,Running,367,2687,13120
10/13/2025,Gym Workout,266,2068,20175
10/13/2025,Yoga,146,1409,5866
10/14/2025,Cycling,214,2088,10245
10/14/2025,Running,323,2300,14745
10/15/2025,Daily Activity,125,832,9839
10/16/2025,Yoga,140,1208,1131
10/17/2025,Yoga,160,1094,8028
10/18/2025,Gym Workout,275,2176,16014
10/18/2025,Gym Workout,218,2132,9736
10/19/2025,Gym Workout,228,1347,7600
10/19/2025,Gym Workout,176,1627,16723
10/20/2025,Daily Activity,189,1347,9824
10/21/2025,Yoga,168,776,2534
10/21/2025,Yoga,137,1152,11639
10/21/2025,Yoga,267,1077,7269
10/22/2025,Running,276,1759,16434
10/23/2025,Running,346,1932,10676
10/23/2025,Running,278,2138,14789
10/23/2025,Running,408,1666,17389
10/23/2025,Gym Workout,285,1592,14836
10/23/2025,Running,254,2561,19007
10/24/2025,Gym Workout,217,1642,12854
10/25/2025,Yoga,135,1316,9971
10/25/2025,Yoga,68,1037,0
10/25/2025,Gym Workout,235,1247,12475
10/26/2025,Running,268,2579,21498
10/27/2025,Running,306,2164,15622
10/28/2025,Yoga,194,368,7480
10/28/2025,Walking,167,1396,7233
10/28/2025,Cycling,300,1873,12975
10/29/2025,Yoga,86,1210,7725
10/30/2025,Walking,171,1268,13356
10/31/2025,Gym Workout,274,1782,8946
10/31/2025,Cycling,222,1740,14931
11/1/2025,Cycling,386,1886,19601
11/2/2025,Yoga,294,1628,4196
11/3/2025,Yoga,286,1457,9596
11/4/2025,Daily Activity,318,1206,15528
11/5/2025,Gym Workout,456,1939,8704
11/6/2025,Running,452,1869,16386
11/7/2025,Gym Workout,255,1484,12304
11/8/2025,Running,417,2635,13393
11/9/2025,Gym Workout,271,1647,9698
11/10/2025,Cycling,275,1495,13190
11/10/2025,Gym Workout,296,1578,5521
11/10/2025,Gym Workout,415,1848,8835
11/10/2025,Daily Activity,181,1039,9022
11/11/2025,Walking,277,1242,13507
11/11/2025,Walking,92,1874,9640
11/11/2025,Walking,297,1468,12995
11/12/2025,Cycling,219,1713,9088
11/13/2025,Yoga,122,1420,5959
11/13/2025,Running,336,2418,10425
11/14/2025,Gym Workout,314,2134,11911
11/15/2025,Walking,279,1528,11205
11/16/2025,Cycling,191,2235,14415
11/16/2025,Running,398,2009,11398
11/17/2025,Yoga,173,1071,8785
11/17/2025,Gym Workout,272,1699,13281
11/17/2025,Yoga,180,1152,5791
11/17/2025,Walking,209,1641,12252
11/17/2025,Gym Workout,302,2002,8651
11/18/2025,Yoga,218,1017,11481
11/18/2025,Yoga,140,1171,1604
11/18/2025,Daily Activity,192,1668,6464
11/18/2025,Running,274,2022,16613
11/19/2025,Daily Activity,171,1539,5474
11/20/2025,Gym Workout,292,1945,13231
11/20/2025,Cycling,237,1900,9364
11/20/2025,Daily Activity,101,1110,8286
11/20/2025,Running,265,1865,13087
11/20/2025,Walking,211,1634,6085
11/21/2025,Yoga,89,1020,7340
11/22/2025,Running,410,1819,14067
11/22/2025,Daily Activity,231,1347,5532
11/22/2025,Running,296,2337,17944
11/22/2025,Cycling,245,1936,11597
